year,month,day,lat,lon,sm_50
2019,8,28,0.565517241,38.999,0.23
2019,8,28,0.050691244,40.864,0.14
2019,8,28,0.965116279,40.428,0.89
2019,8,28,0.696774194,38.506,0.65
2019,8,28,0.366013072,44.722,0.03
2019,8,28,0.298387097,37.852,0.13
2019,8,28,0.965968586,33.405,0.82
2019,8,28,1,43.612,1
2019,8,28,nan,47.709,0.48
2019,8,28,0.787878788,37.978,0.61
2019,8,28,0.060465116,43.779,0.28
2019,8,28,nan,43.757,0.34
2019,8,28,0.134408602,35.704,nan
2019,8,28,0.032258065,41.569,0.08
2019,8,28,0.550239234,64.85,0.29
2019,8,28,0.813895782,40.599,0.11
2019,8,28,0.434343434,41.515,0.71
2019,8,28,0.671370968,39.428,0.54
2019,8,28,nan,45.991,0.96
2019,8,28,0.581081081,38.508,0.65
2019,8,28,nan,40.985,0.85
2019,8,28,0.490322581,40.837,nan
2019,8,28,nan,39.497,0.95
2019,8,28,0.167741935,41.986,nan
2019,8,28,0.208955224,39.046,0.16
2019,8,28,0.359139785,40.276,0.89
2019,8,28,0.594758065,39.312,0.18
2019,8,28,0.430875576,42.953,0.65
2019,8,28,0.22705314,41.056,0.07
2019,8,28,0.187096774,36.128,0.12
2019,8,28,0.248847926,35.922,0.18
2019,8,28,0.431693989,37.522,0.4
2019,8,28,nan,61.191,nan
2019,8,28,nan,70.267,0.18
2019,8,28,0.694623656,39.892,0.99
2019,8,28,0.602150538,40.83,0.49
2019,8,28,0.987903226,40.358,0.96
2019,8,28,0.224489796,36.194,0.04
2019,8,28,0.910588235,41.229,0.06
2019,8,28,nan,42.58,0.23
2019,8,28,nan,38.073,0.75
2019,8,28,0.350649351,43.343,0.01
2019,8,28,0.887096774,67.933,0.88
2019,8,28,0.284697509,39.088,0.85
2019,8,28,0.164141414,40.797,0.42
2019,8,28,nan,41.898,0
2019,8,28,0.742138365,35.262,0.74
2019,8,28,0.50547046,37.486,0.26
2019,8,28,0.660130719,39.134,0.26
2019,8,28,1,41.401,0.73
2019,8,28,0.064516129,37.705,0.2
2019,8,28,0.136263736,42.05,0.04
2019,8,28,0.406593407,42.757,0.55
2019,8,28,0.743697479,38.852,0.3
2019,8,28,0.920258621,44.656,0.76
2019,8,28,0.872611465,39.301,0.74
2019,8,28,0.096774194,41.776,0.26
2019,8,28,nan,48.655,0.63
2019,8,28,0.067622951,41.314,0.75
2019,8,28,0.9,36.177,0.25
2019,8,28,0.518610422,40.358,0.22
2019,8,28,0.774487472,37.496,0.2
2019,8,28,0,40.942,0
2019,8,28,0.736972705,38.55,0.57
2019,8,28,0.54233871,41.466,0.57
2019,8,28,0.215053763,46.805,0.22
2019,8,28,0.193548387,42.712,0.19
2019,8,28,0.012847966,40.351,0.08
2019,8,28,0.703629032,42.319,0.64
2019,8,28,0.84516129,38.946,0.65
2019,8,28,0.110144928,35.268,nan
2019,8,28,0,39.416,0.12
2019,8,28,0.32231405,36.072,0.75
2019,8,28,0.209677419,39.302,0.34
2019,8,28,0.844978166,39.875,0.1
2019,8,28,0.776765376,37.401,0.69
2019,8,28,0.128078818,39.31,0.74
2019,8,28,0.510250569,34.746,0
2019,8,28,0.689826303,39.455,0.84
2019,8,28,0.170454545,35.142,0.17
2019,8,28,0.739631336,39.132,0.39
2019,8,28,0.944281525,38.071,0.47
2019,8,28,0.539784946,38.719,0.88
2019,8,28,0.866666667,40.885,0.7
2019,8,28,0.135416667,38.991,0.09
2019,8,28,1,39.937,0.99
2019,8,28,0.359447005,65.251,0.46
2019,8,28,0.9,41.319,1
2019,8,28,0.263529412,45.265,0.41
2019,8,28,0.115207373,36.026,0.07
2019,8,28,0.722084367,41.737,0.62
2019,8,28,0.058823529,38.82,0.07
2019,8,28,0.6,48.362,0.61
2019,8,28,0.47146402,39.453,0.72
2019,8,28,0.784883721,37.836,0
2019,8,28,0.412903226,41.34,0.74
2019,8,28,0.303225806,41.968,0.57
2019,8,28,nan,42.956,0.31
2019,8,28,0.254032258,39.558,0.72
2019,8,28,0.877419355,41.893,0.89
2019,8,28,1,39.796,0.97
2019,8,28,0.173387097,39.964,0.49
2019,8,28,0.525210084,37.575,0.23
2019,8,28,0.2,38.048,0.23
2019,8,28,0.201612903,42.508,0.43
2019,8,28,0.002183406,40.739,0
2019,8,28,0.455913978,40.775,0.23
2019,8,28,0.935897436,48.952,0.86
2019,8,28,0.966386555,37.597,0.52
2019,8,28,0.021505376,40.137,0.14
2019,8,28,0.172043011,48.928,0
2019,8,28,0.668817204,37.486,0.33
2019,8,28,0.414201183,41.662,0.46
2019,8,28,0.506261181,40.868,0.79
2019,8,28,0.484848485,38.836,0.68
2019,8,28,0.084577114,65.078,0.02
2019,8,28,0.664516129,48.763,0.66
2019,8,28,nan,62.63,0
2019,8,28,0.234604106,47.458,0.49
2019,8,28,nan,34.457,0.28
2019,8,28,0.708510638,40.443,0.69
2019,8,28,0.27016129,40.885,0.21
2019,8,28,0.512096774,39.163,0.46
2019,8,28,1,33.979,0.2
2019,8,28,0.539170507,59.588,0.18
2019,8,28,0.814371257,40.597,0.77
2019,8,28,0.432258065,41.672,0.44
2019,8,28,0.97235023,39.32,0.81
2019,8,28,0.476525822,41.762,0.37
2019,8,28,nan,64.535,nan
2019,8,28,0.308467742,39.718,0.11
2019,8,28,0.133640553,37.869,0.02
2019,8,28,0.131086142,41.916,0.43
2019,8,28,0.710344828,68.617,nan
2019,8,28,0.15625,48.879,0.21
2019,8,28,nan,60.19,nan
2019,8,28,0.663179916,39.172,0.74
2019,8,28,0.392307692,36.582,0.03
2019,8,28,0.439516129,46.466,0.8
2019,8,28,0.362179487,63.944,0.53
2019,8,28,0.595307918,40.549,0.48
2019,8,28,0.974193548,40.385,0.88
2019,8,28,0.756989247,38.276,0.77
2019,8,28,0.477987421,34.941,0.01
2019,8,28,0.764516129,40.893,0.7
2019,8,28,0.460829493,40.907,0.09
2019,8,28,0.285714286,46.495,0.77
2019,8,28,0.578629032,38.208,0.26
2019,8,28,0.068322981,59.351,0.09
2019,8,28,0.402150538,40.612,0.52
2019,8,28,0.060546875,46.119,0.41
2019,8,28,0.90512334,39.93,0.89
2019,8,28,0.511520737,41.547,0.47
2019,8,28,0.698924731,40.659,0.69
2019,8,28,0.011070111,63.305,0.21
2019,8,28,0.833333333,42.765,0.78
2019,8,28,0.157464213,42.87,0.81
2019,8,28,nan,43.226,0.92
2019,8,28,0.709677419,38.68,0.39
2019,8,28,0.865306122,40.581,0.45
2019,8,28,0.696394687,37.661,0.4
2019,8,28,0.947580645,39.461,0.77
2019,8,28,0.17562724,43.669,0.64
2019,8,28,0.187096774,41.376,0.11
2019,8,28,0.48988764,41.67,0.77
2019,8,28,0.985111663,38.946,0.93
2019,8,28,0.491935484,45.188,0.42
2019,8,28,0.090643275,39.658,0.04
2019,8,28,0.2,36.316,0.02
2019,8,28,0.564516129,38.482,0.33
2019,8,28,0.265232975,40.399,0.39
2019,8,28,0.102396514,37.972,0.1
2019,8,28,0.132478632,37.799,0.11
2019,8,28,0.612903226,37.569,0.3
2019,8,28,0.866666667,39.564,0.29
2019,8,28,0.663492063,41.922,0.23
2019,8,28,0.964630225,67.253,nan
2019,8,28,0.75,38.07,0.36
2019,8,28,0.076923077,37.49,0.01
2019,8,28,0,37.209,0.86
2019,8,28,0.838709677,37.379,0.51
2019,8,28,0.756272401,38.163,0.58
2019,8,28,0.626804124,37.892,0.22
2019,8,28,0.388794567,40.934,0.67
2019,8,28,0.538071066,39.326,0.05
2019,8,28,0.409638554,39.741,0.37
2019,8,28,0.0625,40.95,0.36
2019,8,28,0.595477387,40.534,1
2019,8,28,0.311827957,37.658,0.35
2019,8,28,0.108504399,44.437,0.16
2019,8,28,1,39.233,0.87
2019,8,28,nan,40.462,nan
2019,8,28,0.423387097,43.131,0.15
2019,8,28,nan,44.009,0.77
2019,8,28,0.233082707,59.86,0
2019,8,28,0.785353535,40.718,0.65
2019,8,28,0.905339806,38.668,0.73
2019,8,28,nan,38.849,0.68
2019,8,28,0.701960784,38.505,0.64
2019,8,28,0.481389578,39.033,0.26
2019,8,28,0.884615385,40.762,0.94
2019,8,28,0.34375,68.13,0.94
2019,8,28,0.54459203,40.678,0.17
2019,8,28,0.5,41.57,0.48
2019,8,28,0.456706282,46.237,0.69
2019,8,28,0.166666667,47.856,0.41
2019,8,28,0.40625,37.68,0.27
2019,8,28,0.516059957,39.292,0.24
2019,8,28,0.340501792,39.38,0.1
2019,8,28,0.31875,37.527,0.07
2019,8,28,0.948387097,40.978,0.94
2019,8,28,0.512096774,38.482,0.08
2019,8,28,0.45112782,48.723,nan
